x, v, y, TIME, f0, f1, f2
0.0, 0.0, 10.0, 0.0, -9.81, 0.0, 1.0
0.01, -0.0981, 10.0, 0.01, -9.81, -0.0981, 1.0
0.02, -0.1962, 9.999019, 0.02, -9.81, -0.1962, 1.0
0.03, -0.2943, 9.997057, 0.03, -9.81, -0.2943, 1.0
0.04, -0.3924, 9.994114, 0.04, -9.81, -0.3924, 1.0
0.05, -0.49050000000000005, 9.99019, 0.05, -9.81, -0.49050000000000005, 1.0
0.060000000000000005, -0.5886, 9.985285, 0.060000000000000005, -9.81, -0.5886, 1.0
0.07, -0.6867, 9.979398999999999, 0.07, -9.81, -0.6867, 1.0
0.08, -0.7847999999999999, 9.972532, 0.08, -9.81, -0.7847999999999999, 1.0
0.09, -0.8828999999999999, 9.964684, 0.09, -9.81, -0.8828999999999999, 1.0
0.09999999999999999, -0.9809999999999999, 9.955855, 0.09999999999999999, -9.81, -0.9809999999999999, 1.0
0.10999999999999999, -1.0791, 9.946045, 0.10999999999999999, -9.81, -1.0791, 1.0
0.11999999999999998, -1.1772, 9.935254, 0.11999999999999998, -9.81, -1.1772, 1.0
0.12999999999999998, -1.2753, 9.923482, 0.12999999999999998, -9.81, -1.2753, 1.0
0.13999999999999999, -1.3734000000000002, 9.910729, 0.13999999999999999, -9.81, -1.3734000000000002, 1.0
0.15, -1.4715000000000003, 9.896995, 0.15, -9.81, -1.4715000000000003, 1.0
0.16, -1.5696000000000003, 9.88228, 0.16, -9.81, -1.5696000000000003, 1.0
0.17, -1.6677000000000004, 9.866584, 0.17, -9.81, -1.6677000000000004, 1.0
0.18000000000000002, -1.7658000000000005, 9.849907, 0.18000000000000002, -9.81, -1.7658000000000005, 1.0
0.19000000000000003, -1.8639000000000006, 9.832249, 0.19000000000000003, -9.81, -1.8639000000000006, 1.0
0.20000000000000004, -1.9620000000000006, 9.813609999999999, 0.20000000000000004, -9.81, -1.9620000000000006, 1.0
0.21000000000000005, -2.0601000000000007, 9.793989999999999, 0.21000000000000005, -9.81, -2.0601000000000007, 1.0
0.22000000000000006, -2.158200000000001, 9.773389, 0.22000000000000006, -9.81, -2.158200000000001, 1.0
0.23000000000000007, -2.256300000000001, 9.751807, 0.23000000000000007, -9.81, -2.256300000000001, 1.0
0.24000000000000007, -2.354400000000001, 9.729244, 0.24000000000000007, -9.81, -2.354400000000001, 1.0
0.25000000000000006, -2.452500000000001, 9.7057, 0.25000000000000006, -9.81, -2.452500000000001, 1.0
0.26000000000000006, -2.550600000000001, 9.681175, 0.26000000000000006, -9.81, -2.550600000000001, 1.0
0.2700000000000001, -2.648700000000001, 9.655669, 0.2700000000000001, -9.81, -2.648700000000001, 1.0
0.2800000000000001, -2.7468000000000012, 9.629182, 0.2800000000000001, -9.81, -2.7468000000000012, 1.0
0.2900000000000001, -2.8449000000000013, 9.601714, 0.2900000000000001, -9.81, -2.8449000000000013, 1.0
0.3000000000000001, -2.9430000000000014, 9.573265, 0.3000000000000001, -9.81, -2.9430000000000014, 1.0
0.3100000000000001, -3.0411000000000015, 9.543835, 0.3100000000000001, -9.81, -3.0411000000000015, 1.0
0.3200000000000001, -3.1392000000000015, 9.513423999999999, 0.3200000000000001, -9.81, -3.1392000000000015, 1.0
0.3300000000000001, -3.2373000000000016, 9.482031999999998, 0.3300000000000001, -9.81, -3.2373000000000016, 1.0
