x, v, y, TIME, f0, f1, f2
0.0, 0.0, 10.0, 0.0, -9.81, 0.0, 1.0
0.001, -0.009810000000000001, 10.0, 0.001, -9.81, -0.009810000000000001, 1.0
0.002, -0.019620000000000002, 9.99999019, 0.002, -9.81, -0.019620000000000002, 1.0
0.003, -0.029430000000000005, 9.99997057, 0.003, -9.81, -0.029430000000000005, 1.0
0.004, -0.039240000000000004, 9.99994114, 0.004, -9.81, -0.039240000000000004, 1.0
0.005, -0.04905, 9.999901900000001, 0.005, -9.81, -0.04905, 1.0
0.006, -0.05886, 9.999852850000002, 0.006, -9.81, -0.05886, 1.0
0.007, -0.06867000000000001, 9.999793990000002, 0.007, -9.81, -0.06867000000000001, 1.0
0.008, -0.07848000000000001, 9.999725320000003, 0.008, -9.81, -0.07848000000000001, 1.0
0.009000000000000001, -0.08829000000000001, 9.999646840000002, 0.009000000000000001, -9.81, -0.08829000000000001, 1.0
0.010000000000000002, -0.0981, 9.999558550000001, 0.010000000000000002, -9.81, -0.0981, 1.0
0.011000000000000003, -0.10791, 9.99946045, 0.011000000000000003, -9.81, -0.10791, 1.0
0.012000000000000004, -0.11772, 9.99935254, 0.012000000000000004, -9.81, -0.11772, 1.0
0.013000000000000005, -0.12753, 9.99923482, 0.013000000000000005, -9.81, -0.12753, 1.0
0.014000000000000005, -0.13734000000000002, 9.99910729, 0.014000000000000005, -9.81, -0.13734000000000002, 1.0
0.015000000000000006, -0.14715000000000003, 9.99896995, 0.015000000000000006, -9.81, -0.14715000000000003, 1.0
0.016000000000000007, -0.15696000000000004, 9.9988228, 0.016000000000000007, -9.81, -0.15696000000000004, 1.0
0.017000000000000008, -0.16677000000000006, 9.99866584, 0.017000000000000008, -9.81, -0.16677000000000006, 1.0
0.01800000000000001, -0.17658000000000007, 9.99849907, 0.01800000000000001, -9.81, -0.17658000000000007, 1.0
0.01900000000000001, -0.18639000000000008, 9.99832249, 0.01900000000000001, -9.81, -0.18639000000000008, 1.0
0.02000000000000001, -0.1962000000000001, 9.9981361, 0.02000000000000001, -9.81, -0.1962000000000001, 1.0
0.02100000000000001, -0.2060100000000001, 9.9979399, 0.02100000000000001, -9.81, -0.2060100000000001, 1.0
0.022000000000000013, -0.21582000000000012, 9.997733890000001, 0.022000000000000013, -9.81, -0.21582000000000012, 1.0
0.023000000000000013, -0.22563000000000014, 9.997518070000002, 0.023000000000000013, -9.81, -0.22563000000000014, 1.0
0.024000000000000014, -0.23544000000000015, 9.997292440000003, 0.024000000000000014, -9.81, -0.23544000000000015, 1.0
0.025000000000000015, -0.24525000000000016, 9.997057000000002, 0.025000000000000015, -9.81, -0.24525000000000016, 1.0
0.026000000000000016, -0.2550600000000002, 9.99681175, 0.026000000000000016, -9.81, -0.2550600000000002, 1.0
0.027000000000000017, -0.26487000000000016, 9.99655669, 0.027000000000000017, -9.81, -0.26487000000000016, 1.0
0.028000000000000018, -0.27468000000000015, 9.99629182, 0.028000000000000018, -9.81, -0.27468000000000015, 1.0
0.02900000000000002, -0.28449000000000013, 9.99601714, 0.02900000000000002, -9.81, -0.28449000000000013, 1.0
0.03000000000000002, -0.2943000000000001, 9.995732649999999, 0.03000000000000002, -9.81, -0.2943000000000001, 1.0
0.03100000000000002, -0.3041100000000001, 9.995438349999999, 0.03100000000000002, -9.81, -0.3041100000000001, 1.0
0.03200000000000002, -0.3139200000000001, 9.995134239999999, 0.03200000000000002, -9.81, -0.3139200000000001, 1.0
0.03300000000000002, -0.3237300000000001, 9.994820319999999, 0.03300000000000002, -9.81, -0.3237300000000001, 1.0
0.03400000000000002, -0.33354000000000006, 9.994496589999999, 0.03400000000000002, -9.81, -0.33354000000000006, 1.0
0.035000000000000024, -0.34335000000000004, 9.99416305, 0.035000000000000024, -9.81, -0.34335000000000004, 1.0
0.036000000000000025, -0.35316000000000003, 9.9938197, 0.036000000000000025, -9.81, -0.35316000000000003, 1.0
0.037000000000000026, -0.36297, 9.99346654, 0.037000000000000026, -9.81, -0.36297, 1.0
0.03800000000000003, -0.37278, 9.99310357, 0.03800000000000003, -9.81, -0.37278, 1.0
0.03900000000000003, -0.38259, 9.992730790000001, 0.03900000000000003, -9.81, -0.38259, 1.0
0.04000000000000003, -0.39239999999999997, 9.992348200000002, 0.04000000000000003, -9.81, -0.39239999999999997, 1.0
0.04100000000000003, -0.40220999999999996, 9.991955800000001, 0.04100000000000003, -9.81, -0.40220999999999996, 1.0
0.04200000000000003, -0.41201999999999994, 9.99155359, 0.04200000000000003, -9.81, -0.41201999999999994, 1.0
0.04300000000000003, -0.4218299999999999, 9.99114157, 0.04300000000000003, -9.81, -0.4218299999999999, 1.0
0.04400000000000003, -0.4316399999999999, 9.99071974, 0.04400000000000003, -9.81, -0.4316399999999999, 1.0
0.04500000000000003, -0.4414499999999999, 9.990288099999999, 0.04500000000000003, -9.81, -0.4414499999999999, 1.0
0.046000000000000034, -0.4512599999999999, 9.989846649999999, 0.046000000000000034, -9.81, -0.4512599999999999, 1.0
0.047000000000000035, -0.46106999999999987, 9.989395389999999, 0.047000000000000035, -9.81, -0.46106999999999987, 1.0
0.048000000000000036, -0.47087999999999985, 9.988934319999998, 0.048000000000000036, -9.81, -0.47087999999999985, 1.0
0.04900000000000004, -0.48068999999999984, 9.988463439999999, 0.04900000000000004, -9.81, -0.48068999999999984, 1.0
0.05000000000000004, -0.4904999999999998, 9.987982749999999, 0.05000000000000004, -9.81, -0.4904999999999998, 1.0
